,code,name
0,AAL,American Airlines Gp
1,AAPL,Apple Inc
2,ADBE,Adobe Systems Inc
3,ADI,Analog Devices
4,ADP,Automatic Data Procs
5,ADSK,Autodesk Inc
6,ALGN,Align Technology I
7,ALXN,Alexion Pharm Inc
8,AMAT,Applied Materials
9,AMGN,Amgen
10,AMZN,Amazon.Com Inc
11,ASML,Asml Hldg NY Reg
12,ATVI,Activision Blizzard
13,AVGO,Broadcom Ltd
14,BIDU,Baidu Inc
15,BIIB,Biogen Inc
16,BKNG,Booking Holdings Inc.
17,BMRN,Biomarin Pharmaceut
18,CA,CA Inc
19,CDNS,Cadence Design Sys
20,CELG,Celgene Corp
21,CERN,Cerner Corp
22,CHKP,Check Point Software
23,CHTR,Charter Communicatio
24,CMCSA,Comcast Corp A
25,COST,Costco Wholesale
26,CSCO,Cisco Systems Inc
27,CSX,CSX Corp
28,CTAS,Cintas Corp
29,CTRP,Ctrip.Com Intl Ltd
30,CTSH,Cognizant Tech Sol
31,CTXS,Citrix Systems Inc
32,DISH,Dish Network Corp
33,DLTR,Dollar Tree Inc
34,EA,Electronic Arts Inc
35,EBAY,Ebay Inc
36,ESRX,Express Scripts
37,EXPE,Expedia Inc
38,FAST,Fastenal Co
39,FB,Facebook Inc
40,FISV,Fiserv Inc
41,FOX,21st Centry Fox Class B
42,FOXA,21st Centry Fox Class A
43,GILD,Gilead Sciences Inc
44,GOOG,Alphabet Class C
45,GOOGL,Alphabet Class A
46,HAS,Hasbro Inc
47,HOLX,Hologic Inc
48,HSIC,Henry Schein Inc
49,IDXX,Idexx Laboratories
50,ILMN,Illumina Inc
51,INCY,Incyte Corp
52,INTC,Intel Corp
53,INTU,Intuit Inc
54,ISRG,Intuitive Surg Inc
55,JBHT,J B Hunt Transport
56,JD,Jd.Com Inc Ads
57,KHC,Kraft Heinz Co
58,KLAC,K L A-Tencor Corp
59,LBTYA,Liberty Global Ord A
60,LBTYK,Liberty Global Ord C
61,LRCX,Lam Research Corp
62,LVNTA,Liberty Vntrs Srs A
63,MAR,Marriot Int Class A
64,MCHP,Microchip Technology
65,MDLZ,Mondelez Intl Cmn A
66,MELI,Mercadolibre Inc
67,MNST,Monster Beverage Cp
68,MSFT,Microsoft Corp
69,MU,Micron Technology
70,MXIM,Maxim Integrated
71,MYL,Mylan Nv Ord Shs
72,NFLX,Netflix Inc
73,NTES,Netease Inc Ads
74,NVDA,Nvidia Corp
75,ORLY,O'Reilly Automotive
76,PAYX,Paychex Inc
77,PCAR,Paccar Inc
78,PYPL,Paypal Holdings
79,QCOM,Qualcomm Inc
80,QVCA,Liberty Int Qvc Sr A
81,REGN,Regeneron Pharmaceutical
82,ROST,Ross Stores Inc
83,SBUX,Starbucks Corp
84,SHPG,Shire Plc Ads
85,SIRI,Sirius XM Holdings I
86,SNPS,Synopsys Inc
87,STX,Seagate Tech Ord Shs
88,SWKS,Skyworks Solutions
89,SYMC,Symantec Corp
90,TMUS,T-Mobile US
91,TSLA,Tesla Inc
92,TTWO,Take-Two Interacti
93,TXN,Texas Instruments
94,ULTA,Ulta Salon Cosmetic
95,VOD,Vodafone Grp Plc Ads
96,VRSK,Verisk Analytics Inc
97,VRTX,Vertex Pharmaceutic
98,WBA,Walgreens Boots Alliance
99,WDAY,Workday Inc
100,WDC,Western Digital Cp
101,WYNN,Wynn Resorts Ltd
102,XLNX,Xilinx Inc
103,XRAY,Dentsply Sirona Inc
