,code,entry_date,entry_price,exit_date,exit_price,realized_pnl,return,shares,unrealized_pnl,weight
0,ULTA,2014-10-10,114.52,2014-10-13,113.95,-995.459308418,-0.00497729654209,1746.41983933,,
1,MELI,2014-10-10,111.35,2014-10-13,109.14,-3969.46564885,-0.0198473282443,1796.13830265,,
2,BIDU,2014-10-10,211.54,2014-10-13,204.57,-6589.77025622,-0.0329488512811,945.447669471,,
3,MNST,2014-10-10,31.85333,2014-10-13,31.44333,-2574.29913921,-0.0128714956961,6278.77838832,,
4,VRTX,2014-10-10,105.26,2014-10-13,106.74,2812.08436253,0.0140604218127,1900.05700171,,
5,NTES,2014-10-23,93.03,2014-11-07,92.52,-1084.0124173,-0.00548210254757,2125.51454372,,
6,BIDU,2014-10-23,220.2,2014-12-17,221.21,906.966322352,0.00458673932788,897.986457775,,
7,ULTA,2014-10-23,118.6,2015-01-07,128.78,16972.6709212,0.0858347386172,1667.25647556,,
8,MNST,2014-10-23,32.99,2015-01-07,37.47667,26892.3598633,0.136000909366,5993.83504098,,
9,VRTX,2014-10-23,107.03,2015-01-07,117.63,19583.370558,0.0990376529945,1847.48778849,,
10,MELI,2014-11-07,135.0,2014-12-15,136.65,2403.53184603,0.0122222222222,1456.68596729,,
11,INCY,2014-12-15,74.88,2014-12-24,69.57,-14115.7597457,-0.0709134615385,2658.33516868,,
12,BMRN,2014-12-17,86.34,2015-01-07,91.72,12377.8374295,0.0623117905953,2300.71327686,,
13,ROST,2014-12-24,46.82,2015-01-07,47.13,1224.50912179,0.00662110209312,3950.02942514,,
14,AVGO,2015-01-09,104.47,2015-01-15,103.56,-1835.93099102,-0.00871063463195,2017.50658353,,
15,BMRN,2015-01-09,94.44,2015-01-15,99.57,11449.0101924,0.0543202033037,2231.77586597,,
16,ULTA,2015-01-09,132.39,2015-01-15,131.81,-923.377667599,-0.00438099554347,1592.03046138,,
17,INCY,2015-01-09,73.01,2015-01-15,75.29,6582.01782143,0.0312285988221,2886.84992168,,
18,ROST,2015-01-09,48.51,2015-01-15,46.48,-8820.05551324,-0.041847041847,4344.85493263,,
19,DLTR,2015-02-12,76.79,2015-03-12,80.1,9140.72278645,0.0431045709077,2761.54766962,,
20,BMRN,2015-02-12,97.0,2015-03-12,114.5,38258.1113106,0.180412371134,2186.17778918,,
21,SWKS,2015-02-12,83.08,2015-03-12,92.2,23278.5305659,0.109773712085,2552.47045679,,
22,EA,2015-02-12,55.29,2015-03-11,54.8,-1879.34581877,-0.00886236209079,3835.39963014,,
23,INCY,2015-02-12,76.62,2015-03-12,89.86,36644.0147623,0.172800835291,2767.67483099,,
24,AVGO,2015-03-11,125.3,2015-03-12,122.88,-4059.34044174,-0.0193136472466,1677.41340568,,
25,EA,2015-03-26,55.29,2015-05-07,61.16,24666.50485,0.106167480557,4202.13029812,,
26,KHC,2015-03-26,82.0,2015-05-07,83.85,5241.72196023,0.0225609756098,2833.36322175,,
27,AVGO,2015-03-26,120.26,2015-04-27,120.0,-502.305869679,-0.00216198237153,1931.94565261,,
28,INCY,2015-03-26,89.59,2015-05-07,100.63,28630.2830381,0.123228038844,2593.32273896,,
29,SWKS,2015-03-26,91.97,2015-05-07,96.0,10180.6372758,0.0438186365119,2526.21272353,,
30,NFLX,2015-04-27,80.29286,2015-05-07,80.11429,-515.593842621,-0.00222398355221,2887.34861747,,
31,SWKS,2015-05-08,97.87,2015-06-03,108.46,26604.9575612,0.108204761418,2512.27172438,,
32,AMZN,2015-05-08,430.75,2015-05-26,426.2,-2597.1815512,-0.0105629715612,570.809132131,,
33,KHC,2015-05-08,84.9,2015-05-28,84.2,-2027.24644954,-0.00824499411072,2896.06635648,,
34,CTRP,2015-05-08,32.595,2015-06-03,38.385,43676.0924965,0.177634606535,7543.36657971,,
35,NFLX,2015-05-08,81.04143,2015-06-03,89.24287,24882.7980645,0.101200583455,3033.95477678,,
36,NTES,2015-05-26,148.92,2015-06-03,146.29,-4296.42345595,-0.0176604888531,1633.62108591,,
37,JD,2015-05-28,33.73,2015-06-03,34.96,8892.20303219,0.0364660539579,7229.4333595,,
38,SWKS,2015-06-04,104.43,2015-06-16,105.59,2942.52193222,0.0111079191803,2536.65683812,,
39,AMZN,2015-06-04,434.4,2015-06-16,424.15,-6250.59047986,-0.0235957642726,609.813705352,,
40,INCY,2015-06-04,108.09,2015-06-16,103.09,-12253.819669,-0.0462577481728,2450.76393381,,
41,CTRP,2015-06-04,37.2,2015-06-16,37.83,4486.26173041,0.016935483871,7121.05036573,,
42,NFLX,2015-06-04,88.37858,2015-06-16,94.24287,17577.4316074,0.0663542003051,2997.3673893,,
43,BMRN,2015-06-19,137.21,2015-06-30,134.12,-5994.96110345,-0.0225202244734,1940.11686196,,
44,AMZN,2015-06-19,440.26,2015-06-30,434.21,-3658.13560057,-0.0137418797983,604.650512491,,
45,JD,2015-06-19,35.0,2015-06-30,33.07,-14679.2179667,-0.0551428571429,7605.81241798,,
46,NFLX,2015-06-19,96.18429,2015-06-30,93.35715,-7824.50416984,-0.0293929497218,2767.63944122,,
47,CTRP,2015-06-19,37.185,2015-06-30,35.955,-8805.43833788,-0.0330778539734,7158.89295763,,
48,EXPE,2015-07-06,106.31,2015-07-09,106.53,533.932991276,0.00206941962186,2426.96814217,,
49,INCY,2015-07-06,105.99,2015-07-09,106.8,1971.77937906,0.00764223039909,2434.29552971,,
50,BMRN,2015-07-06,136.07,2015-07-09,139.58,6655.53429124,0.0257955464099,1896.16361574,,
51,NFLX,2015-07-06,93.47286,2015-07-09,94.95143,4081.26272611,0.0158181743877,2760.27697445,,
52,CTRP,2015-07-06,34.97,2015-07-09,36.02,7746.9697556,0.0300257363454,7378.0664339,,
53,NTES,2015-07-17,153.0,2015-07-28,139.97,-22330.599305,-0.0851633986928,1713.78352302,,
54,BMRN,2015-07-17,148.01,2015-08-03,146.68,-2356.1773468,-0.00898587933248,1771.56191489,,
55,INCY,2015-07-17,117.49,2015-07-27,108.0,-21179.3536635,-0.0807728317304,2231.75486443,,
56,CTRP,2015-07-17,36.17,2015-08-03,35.84,-2392.28449205,-0.0091235830799,7249.3469456,,
57,NFLX,2015-07-17,117.33,2015-07-28,107.29,-22437.3744599,-0.0855706128015,2234.79825298,,
58,AMZN,2015-07-27,527.75,2015-08-03,537.45,4430.10212407,0.0183799147324,456.711559183,,
59,HAS,2015-07-28,79.9,2015-08-03,78.74,-3481.81320253,-0.0145181476846,3001.56310563,,
60,REGN,2015-07-28,553.3,2015-08-03,558.47,2240.9085349,0.00934393638171,433.444590891,,
61,EXPE,2015-08-04,121.87,2015-08-13,120.22,-3367.25588815,-0.0135390169853,2040.76114434,,
62,NTES,2015-08-04,140.44,2015-08-13,138.25,-3878.30787415,-0.0155938479066,1770.91683751,,
63,AMZN,2015-08-04,529.69,2015-08-13,527.37,-1089.31930135,-0.00437992033076,469.534181616,,
64,CTRP,2015-08-04,37.5,2015-08-13,34.945,-16945.275133,-0.0681333333333,6632.2016176,,
65,NFLX,2015-08-04,113.15,2015-08-13,120.99,17232.5874996,0.0692885550155,2198.03411984,,
66,GOOG,2015-10-20,664.04,2016-01-04,743.0,29382.0579382,0.118908499488,372.113195772,,
67,NVDA,2015-10-20,27.69,2016-01-04,32.29,41049.1518236,0.166124954857,8923.7286573,,
68,GOOGL,2015-10-20,697.89,2016-01-04,762.2,22769.8854716,0.0921491925662,354.064460761,,
69,ATVI,2015-10-20,33.76,2016-01-04,38.05,31399.6036604,0.127073459716,7319.25493249,,
70,AMZN,2015-10-20,572.0,2016-01-04,656.29,36412.4026945,0.14736013986,431.989591819,,
71,ISRG,2016-03-14,193.3533,2016-05-13,211.34,25981.9579196,0.0930250479304,1444.50943862,,
72,FAST,2016-03-14,46.83,2016-04-08,47.21,2266.37312404,0.00811445654495,5964.13980009,,
73,DLTR,2016-03-14,79.62,2016-04-12,78.84,-2736.17834883,-0.00979653353429,3507.92096004,,
74,AMAT,2016-03-14,19.98,2016-05-05,19.89,-1258.11111188,-0.0045045045045,13979.0123543,,
75,KLAC,2016-03-14,68.97,2016-05-13,68.66,-1255.37489807,-0.00449470784399,4049.59644539,,
